tracking_number,carrier,status,error_message,service,service_code,weight_kg,weight_lbs,is_dimensional_weight,origin_city,origin_state,origin_country,destination_city,destination_state,destination_country,distance_km,distance_miles,transport_mode,emission_factor,total_emissions_kg_co2e,main_transit_emissions_kg,last_mile_emissions_kg,trees_needed_1_year,equivalent_miles_driven
9234690390475000528723,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
TBA324130366062,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.45,3.197,FALSE,Fall River,MA,US,Worcester,MA,US,82.23,51.1,truck_average,0.127,0.018,0.0151,0.0029,0,0
92055903470178300001392662,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
TBA324144753052,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.45,3.197,TRUE,Fall River,MA,US,Worcester,MA,US,82.23,51.1,truck_average,0.127,0.018,0.0151,0.0029,0,0
TBA324089744268,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.267,2.793,TRUE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0079,0.0054,0.0025,0,0
1ZWY82100310479696,UPS,success,,UPS Ground,518,1.361,3,FALSE,EASTON,PA,US,WORCESTER,MA,US,333.84,207.44,truck_average,0.127,0.0604,0.0577,0.0027,0,0.1
TBA324078737172,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,2.97,6.548,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.0335,0.0276,0.0059,0,0.1
1LSCYG5005EAZA8,lasership,unsupported,Carrier 'lasership' not supported (no public tracking API),,,,,,,,,,,,,,,,,,,,
TBA324131773709,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,2.17,4.784,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0135,0.0092,0.0043,0,0
TBA324137728757,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,2.45,5.401,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0153,0.0104,0.0049,0,0
TBA324138199050,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,3.42,7.54,FALSE,Fall River,MA,US,Worcester,MA,US,82.23,51.1,truck_average,0.127,0.0426,0.0357,0.0068,0,0.1
TBA324056150980,Amazon,success,,Amazon Fresh Delivery,AMAZON_FRESH,6.081,13.405,TRUE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,last_mile,0.2,0.0406,0.0406,0,0,0.1
TBA324123725508,Amazon,success,,Amazon Same-Day Delivery,AMAZON_SAME_DAY,6.8,14.991,FALSE,Fall River,MA,US,Worcester,MA,US,82.23,51.1,last_mile,0.2,0.1118,0.1118,0,0.01,0.3
9339589725253503051985,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
