Item,Tracking Number,Status,TransactionNum,Date Delivered,Date Routed,Date Stored,Delivered By,Delivered Location1,Delivered Location2,Delivered Location3,Delivered Notes,Delivered To,Delivered Via,Locker Bank Name,Locker Number,Route Notes,Routed By,Routed Email Status,Routed EmailAddress,Routed From,Routed Location1,Routed Location2,Routed Location3,Routed To,Stored By,Stored To,stored Location1,stored Location2,stored Location3
USPS,9234690390475000528723,Delivered,1,2025-09-07 22:32:00,,2025-09-05 09:05:00,redacted,58aec6ba5dcbd401f7e5380b6ce35c360b109ff14f8bc5c5f6ccd94f9dc80199,,,redacted,redacted,Locker,Bank 5,45.0,redacted,redacted,,redacted,redacted,,,,redacted,redacted,redacted,58aec6ba5dcbd401f7e5380b6ce35c360b109ff14f8bc5c5f6ccd94f9dc80199,,
Amazon,TBA324130366062,Delivered,1,2025-09-07 20:23:00,,2025-09-05 13:35:00,redacted,ba978b751c4264e7e073c779292ef42f1fc857684409779458aa8d261921bcb2,,,redacted,redacted,Locker,Bank 8,56.0,redacted,redacted,,redacted,redacted,,,,redacted,redacted,redacted,ba978b751c4264e7e073c779292ef42f1fc857684409779458aa8d261921bcb2,,
USPS,92055903470178300001392662,Delivered,1,2025-09-07 19:54:00,,2025-09-05 09:14:00,redacted,a96fe578bd6bfa165bbce01f5117e978e5777e4552a4373615d3786ee49574e8,,,redacted,redacted,Locker,Bank 7,75.0,redacted,redacted,,redacted,redacted,,,,redacted,redacted,redacted,a96fe578bd6bfa165bbce01f5117e978e5777e4552a4373615d3786ee49574e8,,
Amazon,TBA324144753052,Delivered,1,2025-09-07 19:49:00,,2025-09-05 13:52:00,redacted,b2b48d24f7d0790f675afa9f9b5252e57edc7ba0d438811789f3602a52019bb7,,,redacted,redacted,Locker,Bank 6,6.0,redacted,redacted,,redacted,redacted,,,,redacted,redacted,redacted,b2b48d24f7d0790f675afa9f9b5252e57edc7ba0d438811789f3602a52019bb7,,
Amazon,TBA324089744268,Delivered,1,2025-09-07 17:59:00,,2025-09-05 13:38:00,redacted,,,,redacted,redacted,MMS,Bank 7,68.0,redacted,redacted,,redacted,redacted,,,,redacted,redacted,redacted,e3be6803d0ccd3993904e99d799fc46d558566af90dd3d0efa8f423853bd8ed5,,
UPS,1ZWY82100310479696,Delivered,1,2025-09-07 17:57:00,,2025-09-05 10:53:00,redacted,12269c796b58fb51020e17da59733d060552b37f7916e2f97df9f9bdc0e235a0,,,redacted,redacted,Locker,Bank 2,34.0,redacted,redacted,,redacted,redacted,,,,redacted,redacted,redacted,12269c796b58fb51020e17da59733d060552b37f7916e2f97df9f9bdc0e235a0,,
Amazon,TBA324078737172,Delivered,1,2025-09-07 17:23:00,,2025-09-04 12:15:00,redacted,58c73a965e924d599f0ebce65b0172a22e1d1366676fc728f9283931b9fb436e,,,redacted,redacted,Locker,Bank 2,86.0,redacted,redacted,,redacted,redacted,,,,redacted,redacted,redacted,58c73a965e924d599f0ebce65b0172a22e1d1366676fc728f9283931b9fb436e,,
Lasership,1LSCYG5005EAZA8,Delivered,1,2025-09-07 17:11:00,,2025-09-05 14:03:00,redacted,b71e3f9398381b230c895510c9269b5392caee1db1f2588c7a930be9e099f5a3,,,redacted,redacted,Locker,Bank 8,38.0,redacted,redacted,,redacted,redacted,,,,redacted,redacted,redacted,b71e3f9398381b230c895510c9269b5392caee1db1f2588c7a930be9e099f5a3,,
Amazon,TBA324131773709,Delivered,1,2025-09-07 17:11:00,,2025-09-05 13:32:00,redacted,cd145ae2eb8cf90aca556c7dbbc31fca1e5bca9d9f73b741ff7a91b78fe40047,,,redacted,redacted,Locker,Bank 7,48.0,redacted,redacted,,redacted,redacted,,,,redacted,redacted,redacted,cd145ae2eb8cf90aca556c7dbbc31fca1e5bca9d9f73b741ff7a91b78fe40047,,
Amazon,TBA324137728757,Delivered,1,2025-09-07 16:02:00,,2025-09-05 13:25:00,redacted,56b946435788e7c6f9b7802eb17f513f1eedecddfbc2b5e5eca5fc7db5f5f340,,,redacted,redacted,Locker,Bank 7,45.0,redacted,redacted,,redacted,redacted,,,,redacted,redacted,redacted,56b946435788e7c6f9b7802eb17f513f1eedecddfbc2b5e5eca5fc7db5f5f340,,
Amazon,TBA324138199050,Delivered,1,2025-09-07 15:04:00,,2025-09-05 13:38:00,redacted,af1b4ceb0da8dbd31e107af811de3965b3dd6096e48b968df5dc80faa114fda0,,,redacted,redacted,Locker,Bank 4,21.0,redacted,redacted,,redacted,redacted,,,,redacted,redacted,redacted,af1b4ceb0da8dbd31e107af811de3965b3dd6096e48b968df5dc80faa114fda0,,
